"filename", "language", "TOML", "Rust", "jsonc", "pip requirements", "comment", "blank", "total"
"/root/connect/.cargo/config.toml", "TOML", 3, 0, 0, 0, 0, 1, 4
"/root/connect/.devcontainer/devcontainer.json", "jsonc", 0, 0, 9, 0, 0, 0, 9
"/root/connect/.rustfmt.toml", "TOML", 7, 0, 0, 0, 0, 1, 8
"/root/connect/Cargo.lock", "TOML", 5288, 0, 0, 0, 2, 559, 5849
"/root/connect/Cargo.toml", "TOML", 65, 0, 0, 0, 3, 9, 77
"/root/connect/examples/playground.rs", "Rust", 0, 10, 0, 0, 8, 5, 23
"/root/connect/migration/Cargo.lock", "TOML", 4458, 0, 0, 0, 2, 480, 4940
"/root/connect/migration/Cargo.toml", "TOML", 16, 0, 0, 0, 3, 4, 23
"/root/connect/migration/src/lib.rs", "Rust", 0, 23, 0, 0, 0, 3, 26
"/root/connect/migration/src/m20220101_000001_users.rs", "Rust", 0, 43, 0, 0, 0, 5, 48
"/root/connect/migration/src/m20231103_114510_notes.rs", "Rust", 0, 29, 0, 0, 0, 5, 34
"/root/connect/migration/src/m20240424_000002_devices.rs", "Rust", 0, 60, 0, 0, 0, 7, 67
"/root/connect/migration/src/m20240424_000003_routes.rs", "Rust", 0, 68, 0, 0, 0, 7, 75
"/root/connect/migration/src/m20240424_000004_segments.rs", "Rust", 0, 84, 0, 0, 8, 7, 99
"/root/connect/migration/src/m20240425_071518_authorized_users.rs", "Rust", 0, 61, 0, 0, 0, 7, 68
"/root/connect/migration/src/main.rs", "Rust", 0, 5, 0, 0, 0, 2, 7
"/root/connect/minikeyvalue/requirements.txt", "pip requirements", 0, 0, 0, 3, 0, 1, 4
"/root/connect/src/app.rs", "Rust", 0, 105, 0, 0, 5, 19, 129
"/root/connect/src/bin/main.rs", "Rust", 0, 7, 0, 0, 0, 2, 9
"/root/connect/src/build.rs", "Rust", 0, 24, 0, 0, 4, 7, 35
"/root/connect/src/common/mkv_helpers.rs", "Rust", 0, 7, 0, 0, 0, 2, 9
"/root/connect/src/common/mod.rs", "Rust", 0, 1, 0, 0, 0, 0, 1
"/root/connect/src/controllers/auth.rs", "Rust", 0, 106, 0, 0, 19, 27, 152
"/root/connect/src/controllers/connectdata.rs", "Rust", 0, 101, 0, 0, 12, 22, 135
"/root/connect/src/controllers/connectincomming.rs", "Rust", 0, 150, 0, 0, 6, 21, 177
